Year,New Dwellings,PopulationGrowth,New Dwellings Multiplied by Household Size,,,,,,,,,,,,,
'91,457,,1188,,,,,,,,,,,,,
'92,420,,1092,,,,,,,,,,,,,
'93,484,,1258,,,,,,,,,,,,,
'94,507,,1318,,,,,,,,,,,,,
'95,557,,1448,,,,,,,,,,,,,
'96,700,,1820,,,,,,,,,,,,,
'97,782,2600,2033,,,,,,,,,,,,,
'98,1375,1400,3575,,,,,,,,,,,,,
'99,1116,1200,2901,,,,,,,,,,,,,
'00,1181,900,3070,,,,,,,,,,,,,
'01,1084,1600,2818,,,,,,,,,,,,,
'02,909,3300,2363,,,,,,,,,,,,,
'03,1542,4400,4009,,,,,,,,,,,,,
'04,1384,3300,3598,,,,,,,,,,,,,
'05,829,2400,2155,,,,,,,,,,,,,
'06,778,3200,2022,,,,,,,,,,,,,
'07,679,1800,1765,,,,,,,,,,,,,
'08,963,1300,2503,,,,,,,,,,,,,
'09,802,1700,2085,,,,,,,,,,,,,
'10,530,1200,1378,,,,,,,,,,,,,
'11,455,1700,1183,,,,,,,,,,,,,
'12,548,1200,1424,,,,,,,,,,,,,
'13,481,900,1250,,,,,,,,,,,,,
'14,648,2500,1684,,,,,,,,,,,,,
'15,548,3800,1424,,,,,,,,,,,,,
'16,614,4100,1596,,,,,,,,,,,,,
