Citywide All Months,Citywide Years Longterm Years,Citywide Months Longterm Total New Dwellings,Citywide Months Longterm New Houses,Citywide Months Longterm New Units,Citywide Months Longterm New Apartments,Citywide Months Longterm Retirement Village Units,Citywide Months Longterm Total Construction Value,Citywide Months Longterm Residential Buildings,Citywide Months Longterm NonResidential Construction,Citywide Years Longterm Total New Dwellings,Citywide Years Longterm New Houses,Citywide Years Longterm New Units,Citywide Years Longterm New Apartments,Citywide Years Longterm Retirement Village Units,Citywide Years Longterm Total Construction Value,Citywide Years Longterm Residential Buildings,Citywide Years Longterm NonResidential Construction,Citywide Months Longterm Land Use Consents,Citywide Months Longterm Subdivision Consents,Citywide Months Longterm Combined Consents,Citywide Years Longterm Land Use Consents,Citywide Years Longterm Subdivision Consents,Citywide Years Longterm Combined Consents,Citywide Months Longterm Constructed Dwellings,Citywide Years Longterm Constructed Dwellings,Citywide Months Longterm New Parcels,Citywide Years Longterm New Parcels
,1991,,,,,,,,,399,233,119,47,0,155657858,64343455,91314403,,,,,,,,,,
,1992,,,,,,,,,426,292,109,25,0,220800419,68232852,152567567,,,,,,,,,,
,1993,,,,,,,,,515,308,131,76,0,256950134,77858442,179091692,,,,,,,,,,
,1994,,,,,,,,,593,303,152,138,0,236053674,100376823,135676851,,,,,,,,,,
,1995,,,,,,,,,505,285,130,90,0,192083658,102090649,89993009,,,,,,,,,,
,1996,,,,,,,,,756,279,200,277,0,242950535,130397249,112553286,,,,,,,,,,
,1997,,,,,,,,,1135,363,470,302,0,430022046,167847929,262174117,,,,,,,,,,
,1998,,,,,,,,,1321,350,794,138,39,397322989,184881334,212441655,,,,,,,,,,
,1999,,,,,,,,,1239,447,599,152,41,367262791,203165444,164097347,,,,,,,,,,
,2000,,,,,,,,,1017,455,393,138,31,383643467,205707909,177935558,,,,,,,,,,
,2001,,,,,,,,,1068,357,358,346,7,378333129,211394461,166938668,,,,,,,,,,
,2002,,,,,,,,,1252,324,343,550,35,367835311,238314658,129520653,,,,,,,,,,
,2003,,,,,,,,,1323,429,228,618,48,459588636,296671189,162917447,,,,,,,,583,,
,2004,,,,,,,,,1047,362,186,475,24,532545063,225806303,306738760,,,,,,,,543,,
,2005,,,,,,,,,895,292,156,447,0,614334300,249185213,365149087,,,,,,,,1158,,
,2006,,,,,,,,,633,295,201,66,71,435518021,223043599,212474422,,,,,,,,898,,
,2007,,,,,,,,,798,279,277,242,0,616049645,244732778,371316867,,,,,,,,824,,
,2008,,,,,,,,,1052,220,143,687,2,587881311,315815623,272065688,,,,,,,,588,,
,2009,,,,,,,,,550,222,70,255,3,625609330,221409581,404199749,,,,,,,,959,,
,2010,,,,,,,,,562,275,119,165,3,526708336,261560131,265148205,,,,,,,,1179,,
,2011,,,,,,,,,475,220,105,150,0,531826442,241911034,289915408,,,,,,,,375,,
,2012,,,,,,,,,501,225,76,200,0,454370055,248737660,205632395,,,,,,,,478,,
,2013,,,,,,,,,623,254,116,251,2,540801243,300566001,240235242,,,,527,82,46,,463,,
Jan '14,,61,21,6,0,34,63104487,23525447,39579040,,,,,,,,,25,4,4,,,,18,,,
Feb '14,,44,20,15,9,0,90120035,35682996,54437039,,,,,,,,,27,6,5,,,,55,,,
March '14,,24,21,3,0,0,50614800,14834678,35780122,,,,,,,,,44,5,4,,,,18,,,
April '14,,69,27,2,40,0,30987383,17237313,13750070,,,,,,,,,31,9,4,,,,30,,,
May '14,,29,20,4,5,0,25405436,15667290,9738146,,,,,,,,,39,6,8,,,,65,,,
June '14,,34,26,8,0,0,27776449,16657449,11119000,,,,,,,,,32,9,2,,,,45,,,
July '14,,40,20,20,0,0,50966867,18831683,32135184,,,,,,,,,28,10,2,,,,75,,31,
Aug '14,,31,13,15,3,0,33068192,17346297,15721895,,,,,,,,,36,8,2,,,,29,,26,
Sept '14,,81,18,7,56,0,64263379,22118575,42144804,,,,,,,,,37,7,6,,,,26,,28,
Oct '14,,45,28,17,0,0,37073379,21980809,15092570,,,,,,,,,35,7,2,,,,65,,13,
Nov '14,,12,10,2,0,0,65019983,9558895,55461088,,,,,,,,,37,10,2,,,,24,,22,
Dec '14,2014,74,17,23,34,0,52302435,23372688,28929747,544,241,122,147,34,590702825,236814120,353888705,38,12,0,409,93,41,34,484,13,
Jan '15,,76,16,36,24,0,34918810,22804651,12114159,,,,,,,,,34,4,4,,,,70,,23,
Feb '15,,48,34,8,6,0,41650844,24703494,16947350,,,,,,,,,22,4,4,,,,29,,9,
March '15,,40,30,10,0,0,61948459,25404911,36543548,,,,,,,,,31,8,3,,,,30,,5,
April '15,,25,17,8,0,0,43897624,23343138,20554486,,,,,,,,,33,4,0,,,,75,,24,
May '15,,40,35,5,0,0,56718668,20322274,36396394,,,,,,,,,35,5,5,,,,34,,49,
June '15,,36,24,12,0,0,32411369,16477369,15934000,,,,,,,,,32,11,2,,,,24,,6,
July '15,,29,26,2,1,0,38255090,16208590,22046500,,,,,,,,,31,11,3,,,,40,,23,
Aug '15,,64,13,51,0,0,41857751,24744348,17113403,,,,,,,,,30,2,4,,,,27,,20,
Sept '15,,24,20,4,0,0,113731728,13360128,100371600,,,,,,,,,37,5,3,,,,43,,4,
Oct '15,,69,20,17,32,0,48467685,20211189,28256496,,,,,,,,,36,5,2,,,,46,,3,
Nov '15,,148,20,29,99,0,37343057,19342564,18000493,,,,,,,,,47,3,2,,,,38,,21,
