Quarter,Median House Price,Number of House Sales
2005 Q1,389615,971
2005 Q2,399310,927
2005 Q3,406538,976
2005 Q4,426546,1005
2006 Q1,433682,1024
2006 Q2,438918,1261
2006 Q3,451410,855
2006 Q4,477085,1137
2007 Q1,496668,1041
2007 Q2,503060,1030
2007 Q3,504464,773
2007 Q4,515929,851
2008 Q1,516346,723
2008 Q2,485801,604
2008 Q3,485009,563
2008 Q4,473752,573
2009 Q1,473770,731
2009 Q2,487341,794
2009 Q3,495003,683
2009 Q4,510442,778
2010 Q1,505418,731
2010 Q2,497072,637
2010 Q3,490942,553
2010 Q4,496094,690
2011 Q1,494462,645
2011 Q2,487248,648
2011 Q3,492304,533
2011 Q4,498022,668
2012 Q1,500177,719
2012 Q2,497725,729
2012 Q3,503760,638
2012 Q4,516187,805
2013 Q1,513095,765
2013 Q2,516781,784
2013 Q3,520633,637
2013 Q4,528312,729
2014 Q1,524232,655
2014 Q2,524930,671
2014 Q3,521042,616
2014 Q4,538719,839
2015 Q1,540761,764
2015 Q2,539873,770
2015 Q3,550533,688
2015 Q4,583448,976
2016 Q1,616443,957
2016 Q2,638310,925
2016 Q3,671387,799
