YearToMonth,Lower Quartile,Geometric Mean,Upper Quartile,Auckland,Christchurch,Dunedin,Hamilton,Nelson,New Plymouth District,Palmerston North,Tauranga District,Wellington Region,National
Jan '94,146,191,250,195,150,143,139,148,130,155,157,169,154
Feb '94,142,187,247,195,152,149,137,150,134,160,155,171,153
Mar '94,143,190,253,204,153,150,140,151,128,158,151,169,155
Apr '94,149,197,260,200,152,144,140,150,131,163,155,169,156
May '94,139,184,243,205,148,145,142,151,132,145,158,166,157
Jun '94,142,187,245,207,150,138,148,151,134,150,161,167,157
Jul '94,142,189,253,210,150,138,142,152,139,142,158,166,157
Aug '94,144,190,251,206,149,133,146,151,134,147,156,170,158
Sep '94,142,193,262,212,148,132,144,156,138,148,161,171,159
Oct '94,150,196,255,219,149,167,143,153,137,152,160,167,159
Nov '94,152,201,264,214,151,147,149,157,137,157,159,173,161
Dec '94,153,196,250,227,158,146,152,147,133,146,160,174,164
Jan '95,150,195,255,220,159,158,149,148,140,161,167,175,164
Feb '95,145,196,264,233,161,144,149,153,132,157,165,174,162
Mar '95,155,203,265,229,157,148,153,149,137,170,165,177,165
Apr '95,147,196,261,230,163,152,152,159,139,159,160,172,165
May '95,155,205,272,239,159,143,155,158,135,154,168,178,170
Jun '95,152,202,268,239,158,140,157,158,143,155,168,176,166
Jul '95,157,203,263,237,159,143,157,164,136,155,169,177,169
Aug '95,152,201,265,242,161,143,160,161,142,156,171,176,170
Sep '95,157,204,266,251,162,152,158,161,144,156,171,181,173
Oct '95,157,207,273,252,162,154,160,153,141,156,173,179,174
Nov '95,155,209,281,246,166,153,165,160,136,169,174,181,173
Dec '95,160,210,275,256,167,152,165,150,142,160,164,186,180
Jan '96,167,217,283,256,167,163,160,153,147,150,183,188,177
Feb '96,160,213,283,258,168,145,169,156,146,155,176,188,175
Mar '96,164,221,298,264,172,151,170,166,142,168,177,185,178
Apr '96,165,217,287,269,168,147,170,161,150,166,178,186,181
May '96,168,224,300,269,170,149,172,160,143,159,176,194,182
Jun '96,172,227,299,262,171,141,169,164,146,166,179,191,182
Jul '96,175,229,301,268,171,141,169,161,143,158,183,191,182
Aug '96,169,224,299,267,171,136,169,165,144,153,185,191,182
Sep '96,168,226,305,270,172,156,171,163,148,160,183,190,184
Oct '96,167,227,308,278,170,155,180,161,150,162,182,195,186
Nov '96,170,230,311,274,171,148,171,154,145,171,180,197,185
Dec '96,175,235,314,268,173,153,179,164,140,167,191,203,187
Jan '97,175,231,305,268,179,154,176,165,145,165,189,195,184
Feb '97,176,233,309,277,178,143,177,169,146,165,190,200,186
Mar '97,175,238,323,275,175,145,179,170,142,171,191,200,186
Apr '97,173,236,322,276,173,143,181,168,140,166,192,200,190
May '97,181,239,316,282,174,135,179,169,140,162,191,200,187
Jun '97,184,246,330,282,172,136,180,171,144,162,192,205,190
Jul '97,175,234,312,272,168,132,181,160,141,159,192,201,189
Aug '97,178,240,322,275,171,137,178,168,154,152,189,201,189
Sep '97,177,237,317,274,169,143,176,166,145,127,193,203,188
Oct '97,177,234,308,276,173,162,177,171,152,142,194,200,191
Nov '97,182,239,314,276,174,163,178,166,147,172,190,205,192
Dec '97,182,242,321,264,174,151,181,161,148,156,194,205,189
Jan '98,187,243,315,267,177,156,182,173,144,166,193,209,189
Feb '98,184,244,325,268,174,144,177,173,147,164,192,209,188
Mar '98,183,247,333,271,183,152,181,169,146,168,194,213,191
Apr '98,184,249,336,271,172,140,174,172,150,162,191,209,190
May '98,192,249,323,268,171,138,178,172,148,149,191,211,188
Jun '98,181,241,322,269,172,138,178,176,141,160,192,209,189
Jul '98,179,246,338,264,171,140,176,173,150,153,186,215,191
Aug '98,188,244,318,265,165,142,178,169,141,157,190,206,189
Sep '98,182,242,322,266,167,142,178,171,143,155,189,209,188
Oct '98,185,242,318,263,169,167,182,166,141,152,186,212,190
Nov '98,184,240,315,261,166,149,178,164,146,164,183,209,189
Dec '98,183,238,309,257,172,145,186,175,142,160,184,209,188
Jan '99,190,248,323,260,168,161,183,170,144,161,190,216,187
Feb '99,193,253,333,260,178,147,185,166,145,165,188,218,189
Mar '99,184,245,326,257,172,153,177,167,136,164,185,216,186
Apr '99,188,250,332,262,175,161,179,169,141,170,186,210,190
May '99,188,249,328,263,148,141,181,173,143,165,185,212,185
Jun '99,184,244,322,262,164,140,178,170,139,158,182,210,186
Jul '99,196,252,325,262,162,139,176,169,140,157,186,218,189
Aug '99,189,246,319,258,168,140,177,170,145,161,186,214,189
Sep '99,194,256,337,267,159,151,179,174,140,164,182,215,189
Oct '99,193,251,327,257,167,148,178,168,146,162,184,210,187
Nov '99,195,259,345,264,161,166,175,167,141,173,184,222,189
Dec '99,188,246,323,263,168,173,178,171,138,171,186,213,190
Jan '00,194,256,337,257,173,157,181,169,138,158,190,221,189
Feb '00,193,262,355,266,174,150,181,177,152,166,186,226,191
Mar '00,196,261,347,262,176,167,175,169,145,166,183,218,190
Apr '00,161,220,302,273,171,150,175,177,138,157,187,203,189
May '00,189,244,314,264,166,162,176,174,145,164,184,213,191
Jun '00,193,253,331,268,169,141,175,173,145,161,186,219,189
Jul '00,197,254,327,267,169,139,177,172,145,161,191,220,192
Aug '00,190,247,321,265,166,145,174,164,147,164,189,214,190
Sep '00,195,250,322,268,172,154,177,170,145,164,187,213,190
Oct '00,198,253,325,261,169,174,181,173,145,168,190,221,192
Nov '00,191,248,321,263,168,167,174,175,140,177,187,212,191
Dec '00,198,256,330,264,172,155,178,169,139,173,185,219,190
Jan '01,192,250,325,266,172,166,177,175,134,166,189,220,192
Feb '01,201,264,346,270,178,158,176,176,142,168,189,229,194
Mar '01,199,262,346,268,171,164,174,173,134,165,187,223,191
Apr '01,197,259,341,270,175,139,179,179,143,169,186,221,194
May '01,193,253,331,271,174,149,180,180,152,165,191,219,193
Jun '01,159,220,305,277,169,149,170,184,153,167,189,201,193
Jul '01,201,258,332,273,171,144,170,181,145,161,189,218,192
Aug '01,195,257,337,276,169,154,177,182,145,164,192,219,195
Sep '01,201,262,341,272,172,177,176,183,145,160,192,220,196
Oct '01,195,252,327,281,175,167,166,179,148,176,190,216,195
Nov '01,200,260,337,284,179,161,180,188,151,182,189,223,198
Dec '01,196,254,330,290,171,162,185,182,149,171,195,222,199
Jan '02,205,264,341,282,182,162,183,189,142,176,194,228,199
Feb '02,209,274,359,296,182,173,179,184,154,172,193,237,203
Mar '02,199,266,356,283,191,169,176,196,153,167,194,229,200
Apr '02,153,216,305,287,182,161,185,193,157,173,196,205,202
May '02,199,267,357,305,188,165,185,190,155,170,197,224,205
Jun '02,200,260,338,306,183,152,185,201,155,175,199,225,205
Jul '02,203,265,346,306,184,141,189,197,157,170,202,224,206
Aug '02,201,262,342,310,185,164,182,191,166,172,198,226,206
Sep '02,204,266,347,308,187,179,189,201,162,171,202,227,207
Oct '02,198,264,352,315,192,185,191,203,165,157,207,219,210
Nov '02,206,270,354,319,189,172,192,212,166,177,193,231,209
Dec '02,211,273,354,320,189,169,194,206,177,188,207,230,214
Jan '03,206,270,355,326,204,187,197,203,266,185,213,234,218
Feb '03,219,287,375,333,202,176,201,215,197,180,214,246,219
Mar '03,217,285,375,330,203,181,199,221,207,182,216,245,219
Apr '03,211,278,368,338,202,186,199,221,176,179,220,235,221
May '03,170,237,331,330,209,176,206,216,183,147,221,219,218
Jun '03,206,279,377,331,203,174,199,217,180,179,222,234,221
Jul '03,208,275,364,329,207,168,206,211,179,176,220,236,223
Aug '03,167,236,335,326,210,193,205,220,167,158,221,218,221
Sep '03,196,259,343,326,206,211,201,217,173,183,226,226,222
Oct '03,212,278,366,329,214,199,214,225,175,187,231,243,228
Nov '03,211,279,368,327,218,188,215,233,185,191,232,235,228
Dec '03,207,272,357,330,216,189,213,226,187,189,237,234,229
Jan '04,212,281,372,329,224,204,218,223,190,192,235,246,232
Feb '04,227,299,396,335,223,202,216,228,194,184,238,260,236
Mar '04,226,299,395,327,226,190,220,230,187,185,238,254,234
Apr '04,146,209,300,333,229,198,218,231,178,160,237,204,228
May '04,216,284,372,329,223,209,221,226,203,184,247,243,237
Jun '04,219,285,371,330,229,189,224,219,182,183,240,242,237
Jul '04,210,284,385,331,226,199,224,230,190,183,246,241,236
Aug '04,207,281,380,326,229,216,222,228,189,179,245,244,236
Sep '04,228,294,379,327,224,234,221,212,186,185,244,246,237
Oct '04,212,282,376,331,223,201,219,220,190,212,242,246,238
Nov '04,220,286,372,324,231,221,226,233,190,202,247,249,240
Dec '04,218,288,379,331,228,221,229,228,194,202,250,247,240
Jan '05,224,295,387,327,234,223,227,237,211,198,253,256,244
Feb '05,228,304,407,330,237,218,230,223,197,202,248,266,245
Mar '05,230,305,403,329,238,211,236,231,204,188,252,264,244
Apr '05,233,300,386,329,240,213,235,228,213,175,248,256,244
May '05,154,218,308,337,230,203,232,237,220,198,257,215,239
Jun '05,231,298,385,332,227,208,231,237,213,194,255,255,245
