Month,LandUse,Subdivision,Combined
Jul-13,89,5,8
Aug-13,50,10,5
Sep-13,62,2,7
Oct-13,56,14,3
Nov-13,50,4,6
Dec-13,52,9,8
Jan-14,25,3,4
Feb-14,51,3,6
Mar-14,50,12,8
Apr-14,47,7,6
May-14,35,11,5
Jun-14,40,5,4
Jul-14,53,6,13
Aug-14,49,10,3
Sep-14,54,9,6
Oct-14,59,14,5
Nov-14,53,12,2
Dec-14,58,3,5
Jan-15,25,3,1
Feb-15,38,10,5
Mar-15,56,5,3
Apr-15,34,4,11
May-15,40,14,7
Jun-15,35,13,3
Jul-15,45,6,8
Aug-15,39,5,1
Sep-15,69,6,4
Oct-15,48,2,6
Nov-15,52,2,5
Dec-15,38,5,9
Jan-16,15,3,3
Feb-16,45,3,5
Mar-16,48,5,12
Apr-16,50,7,6
May-16,54,9,10
