KilometresDriveToCBD,Suburb,TotalDwellings2004,TotalDwellings2005,TotalDwellings2006,TotalDwellings2007,TotalDwellings2008,TotalDwellings2009,TotalDwellings2010,TotalDwellings2011,TotalDwellings2012,TotalDwellings2013,TotalDwellings2014,TotalDwellings2015,TotalDwellings2016,Houses2004,Houses2005,Houses2006,Houses2007,Houses2008,Houses2009,Houses2010,Houses2011,Houses2012,Houses2013,Houses2014,Houses2015,Houses2016,Units2004,Units2005,Units2006,Units2007,Units2008,Units2009,Units2010,Units2011,Units2012,Units2013,Units2014,Units2015,Units2016,Apartments2004,Apartments2005,Apartments2006,Apartments2007,Apartments2008,Apartments2009,Apartments2010,Apartments2011,Apartments2012,Apartments2013,Apartments2014,Apartments2015,Apartments2016,Retirement Village Units2004,Retirement Village Units2005,Retirement Village Units2006,Retirement Village Units2007,Retirement Village Units2008,Retirement Village Units2009,Retirement Village Units2010,Retirement Village Units2011,Retirement Village Units2012,Retirement Village Units2013,Retirement Village Units2014,Retirement Village Units2015,Retirement Village Units2016,ConstructionValue2004,ConstructionValue2005,ConstructionValue2006,ConstructionValue2007,ConstructionValue2008,ConstructionValue2009,ConstructionValue2010,ConstructionValue2011,ConstructionValue2012,ConstructionValue2013,ConstructionValue2014,ConstructionValue2015,ConstructionValue2016
1km,Wellington Central,3,3,1,99,0,0,3,4,44,2,36,104,23,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,99,0,0,0,4,44,2,36,104,23,0,0,0,0,0,0,0,0,0,0,0,0,0,113272679,59360699,65789061,144189289,64169762,73976138,75953920,54497528,76395172,118353713,153854077,80089956,102053468
,Te Aro,307,391,27,80,582,198,98,120,72,160,33,33,147,1,0,1,0,2,0,4,1,1,2,1,0,4,0,3,0,2,1,0,1,5,6,1,2,8,3,306,388,26,78,579,198,93,114,65,157,30,25,140,0,0,0,0,0,0,0,0,0,0,0,0,0,67138904,112105317,51259275,50948394,104142284,53086974,36360650,91050643,97554375,75793845,35692030,70773948,128517308
2km,Aro Valley,1,3,10,5,7,3,3,10,5,1,4,9,4,1,1,1,2,2,3,0,2,1,1,1,7,2,0,2,9,3,5,0,3,8,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394260,1554500,2264800,2301900,1749500,2195693,1744785,2473300,3158924,1043150,2221872,3111120,2179850
,Mt Victoria,37,11,10,12,1,2,6,2,9,9,4,3,31,2,0,0,0,1,1,0,2,2,1,2,2,0,0,7,0,7,0,1,0,0,2,8,2,0,1,35,4,10,5,0,0,6,0,5,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,13027147,8334288,5929135,7513188,6201402,4513386,3556370,7625120,7939200,10440000,12295736,15132629,23496732
,Oriental Bay,1,0,17,1,1,1,10,2,1,0,0,0,0,1,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2177385,1517700,8878000,4502354,3557000,819000,11532000,7523000,1771430,9894000,1830886,2779000,9740688
,Mt Cook,56,37,11,38,57,15,56,1,37,73,24,40,98,6,0,1,3,0,0,1,1,2,0,0,3,3,3,7,10,2,0,0,2,0,20,20,0,5,2,47,30,0,33,57,15,53,0,15,53,24,32,93,0,0,0,0,0,0,0,0,0,0,0,0,0,19984300,7685223,7267617,9724000,9127427,15143500,33715500,18075000,13341795,38325550,24676849,12751000,19731600
,Pipitea,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11887680,22474925,13397229,43932468,102662896,127342100,17899589,7005500,7730500,40762875,13815321,27271874,98511250
,Thorndon,38,17,3,0,2,4,4,0,0,4,26,3,7,5,0,1,0,0,2,2,0,0,1,6,1,4,2,3,0,0,0,2,1,0,0,2,11,1,1,31,14,2,0,2,0,1,0,0,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,89428263,22175452,11774000,57088300,11436200,32864097,42131040,25700400,13921751,6314694,75953690,31987466,11661340
,Kelburn,2,13,2,8,6,2,2,1,0,8,6,5,3,1,1,2,2,1,1,2,1,0,3,2,4,1,1,10,0,6,5,1,0,0,0,5,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5980231,17288836,7491072,58375774,30191095,42314704,37931800,9268067,9688160,12866968,13370815,99098068,6405640
3km,Hataitai,12,4,14,8,47,3,4,9,3,2,12,20,6,5,3,6,2,2,2,1,3,3,2,12,5,5,7,1,8,6,2,1,3,5,0,0,0,15,1,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6039449,3437224,6631972,6185400,19892875,5674430,6608120,22837460,5806477,3522731,7610267,12573300,7808186
